user_location,user_created,date,text,flag
"Sacramento, CA",2018-03-20 01:47:27,2020-12-11 05:10:11,"@TeslaChillMode @MikeyNog @CodingMark @JosephVVallace @TacosandTeslas @TeslaForThe_Win @UNPLGD3 @matmansd @JasonDe22001914 @jd_average @CharlesScott78 @nickwhoward @ChrisLiMRX3 @HelperTesla @aaronbrighton @MFrunker @jchybow @_bennettm_ @akidesir @BenClewett1 @CanadianMartia1 @elonmusk @flyerandyp @gatica1813 @IheartTesla @Inelonwetrust @JohnEG78 @Kristennetten @lourencovc @NOAHWEBB @omniblast @phibetakitten @rachelsrowell @SeasonedTech @tartinedeouf @Tesla @TeslaGong @teslainvernon @teslaownerssv @teslaquadcities @trevlan006 @wadeanderson @WR4NYGov @XarXarBinx So, my wedding might be in the Bay Area, what do y’all say you come thru with that delicious food &amp; we enjoy the wedding? lol",positive
"San Francisco, CA",2009-01-09 20:08:39,2020-12-10 23:22:01,@loganbartlett Can't invest in your startup cuz I'm at Burning man followed by a silent retreat! 🤣🤣 Are you a writer on Silicon Valley? You didn't mention your tesla tho. 💯,positive
"Bay Area, CA, USA",2018-01-15 04:12:45,2020-12-11 22:13:46,@AdamHoov @TeslaForThe_Win @JasonDe22001914 @nickwhoward @Kristennetten @wendishen99 @teslainvernon @jchybow @TeslaChillMode @JosephVVallace @TacosandTeslas @UNPLGD3 @matmansd @jd_average @CharlesScott78 @ChrisLiMRX3 @HelperTesla @aaronbrighton @MFrunker @_bennettm_ @akidesir @BenClewett1 @CanadianMartia1 @elonmusk @flyerandyp @gatica1813 @IheartTesla @Inelonwetrust @JohnEG78 @lourencovc @NOAHWEBB @omniblast @phibetakitten @rachelsrowell @sacramentotesla @SeasonedTech @tartinedeouf @Tesla @TeslaGong @teslaownerssv @teslaquadcities @trevlan006 @wadeanderson @WR4NYGov @XarXarBinx Robotaxis will be thoughtful and buy their owners gifts for the holidays with the money they’ve earned 🎅,positive
"Santa Cruz, CA",2010-08-10 05:44:36,2020-12-12 05:12:47,@teslaownerssv Whoops hahah https://t.co/5FrDTsfrrh,positive
"Berkeley, CA",2009-12-11 00:04:47,2020-12-12 01:56:50,"@tor_berg Seeing as Tesla is entirely a creature of American electric/domestic manufacturing car subsidies, it would be pretty awkward/hilarious if it got stuck in a petro-state run by Republicans.",positive
"Oakland, CA",2013-07-05 22:07:58,2020-12-11 02:39:23,Ima get a Tesla,positive
"Tiburon, CA",2011-02-20 05:25:54,2020-12-12 05:26:16,Low regenerative braking mode on Tesla is a hack for higher efficiency. Teach yourself to anticipate situations and not use energy in the first place. It’s more efficient than recovering expended energy in the high setting. If you can train your mind and your foot.,positive
San Jose CA,2017-06-01 15:17:05,2020-12-11 20:01:06,I was just walking by a Tesla and that shit started recording WHAT THE HECK the technology on those things amazes me 😂,negative
San Francisco,2009-04-10 17:10:53,2020-12-11 10:36:29,"Tesla's German Gigafactory construction rolls on, despite hibernating snakes https://t.co/o98b8f9v3M",positive
"Lafayette, CA",2008-11-28 00:36:42,2020-12-10 23:32:22,"👀👀 Needed my tow hook cover replaced. Booked service w/my @Tesla app. 15 minutes later a text from the Service Center. Paid via Apple Pay, &amp; 💥 boom. Picking up the part tomorrow. I don’t miss service appointments from legacy auto one bit. Thanks @elonmusk #Teslaserviceissues https://t.co/mjcIputP1C",positive
"San Francisco, CA",2012-04-26 21:27:02,2020-12-11 11:30:00,"The video is also mesmerizing to watch. 😍🎵

#engineering
https://t.co/3jJNtKI0YF",positive
"Lafayette, CA",2008-11-28 00:36:42,2020-12-11 04:50:11,@JosephVVallace @TeslaForThe_Win @UNPLGD3 @matmansd @JasonDe22001914 @jd_average @CharlesScott78 @nickwhoward @ChrisLiMRX3 @HelperTesla @aaronbrighton @MFrunker @TeslaChillMode @jchybow @CodingMark @_bennettm_ @akidesir @BenClewett1 @CanadianMartia1 @elonmusk @flyerandyp @gatica1813 @IheartTesla @Inelonwetrust @JohnEG78 @Kristennetten @lourencovc @NOAHWEBB @omniblast @phibetakitten @rachelsrowell @sacramentotesla @SeasonedTech @tartinedeouf @Tesla @TeslaGong @teslainvernon @teslaownerssv @teslaquadcities @trevlan006 @wadeanderson @WR4NYGov @XarXarBinx Aka Joe got that smoke 💨,positive
Silicon Valley,2018-07-08 20:42:31,2020-12-12 14:00:11,15 days until Christmas means 15 more days of wishing our members a merry Xmas from the tesla community. Every day I’ll be posting one video wishing our members a Merry Xmas and Happy Holiday. @kgee is our chief events officer in charge of marketing and events   #tosvxmas https://t.co/grjI7l6UgB,positive
"El Sobrante, CA",2009-04-25 02:19:37,2020-12-11 01:45:46,@CNBC They are a tech and energy company that happens to make a car. If they come out with a $25k FSD Tesla that moonlights as a taxi on the side. Game over.,positive
"Sacramento, CA",2018-03-20 01:47:27,2020-12-11 19:57:42,@DriveTeslaca @Tesla @elonmusk Is this just a Canada thing? We can turn on seat warms without climate https://t.co/eyoSfoMan7,positive
"Santa Cruz, CA",2016-05-28 06:41:12,2020-12-11 23:21:14,@KTVU Tesla. Now Oracle. Texas is the new silicone valley. I'm sure workers like the lack of a state income tax too (instead of constantly being taxed to death here).,negative
Silicon Valley,2011-05-17 17:38:15,2020-12-12 00:26:57,"The exodus has begun @hpe, @Tesla and now @oracle moving their #HQ to #Texas

What will that mean for #BayArea house prices if more move? #SVLife",positive
"San Francisco, CA",2020-01-16 16:17:00,2020-12-11 20:45:14,"@spac_insider Monkey see, monkey do! Tesla has proven this sector.  ICE makers having hard time pivoting.  Huge TAM. Concept easy to understand by retail investors.",positive
"Carmel, CA",2017-07-25 01:15:47,2020-12-11 02:24:51,California accounts for 40% of tesla sales. I wouldn’t talk too much shit if I were Elon. 🤣,negative
"San Francisco, CA",2017-09-21 20:12:45,2020-12-11 19:07:41,"Factor 3: Leverage and cult-like assets

Are you a bull who wants 10x leverage on Tesla stock?

OTM options might be the easiest way for cult-members to express their powerful devotion

There's no easier way for retail investors to get crazy leverage on high volatility stocks

5/",positive
"San Francisco, CA",2016-12-17 17:42:26,2020-12-12 15:35:02,"Why should this matter to us? The move to Texas by Oracle, HPE, Tesla- likely is because these Republican billionaires pay even less taxes in Texas. Last year was McKesson. It’s top  1% greed and it must be stopped. Hope this helps turn Texas blue  https://t.co/jJwWG2whrM https://t.co/3dD7422hQX",positive
"Sacramento, CA",2019-10-06 03:37:22,2020-12-11 18:56:36,@EJZebby @DirtyTesla @GO_GO_ELECTRIC @Matthew__Julian @MKBHD @whatsinside @ZacksJerryRig Nothing! Must be a major update with this sort of delay... I’m used to every couple days and sometimes even daily... almost 2 weeks is highly unusual for Tesla,positive
"Lafayette, CA",2008-11-28 00:36:42,2020-12-12 04:22:37,@phibetakitten @TeslaChillMode @Inelonwetrust__ @MFrunker @CodingMark @nickwhoward @north_tesla @flyerandyp @_bennettm_ @XarXarBinx @lourencovc @SeasonedTech @Kristennetten @TeslaGong @teslaquadcities @elonmusk @Tesla Best takoyaki I’ve had was in Osaka. https://t.co/WHNU9KtVc7,positive
"Berkeley, CA",2016-03-10 22:27:24,2020-12-12 01:33:59,@PaleoTesla Congratulations!!! This week in Tesla's world ends like...  oh yea... https://t.co/jqkyJOht29,positive
Silicon Valley,2007-03-18 15:35:01,2020-12-11 23:16:53,"@pamelamgust Can’t speak to political impact. Very unhappy about losing @Tesla, as it was test case for bringing manufacturing back to California.

None of the announced moves seem material for the CA budget, especially given the tidal wave of capital gains taxes coming in 2020/21+.",negative
"Sacramento, CA",2019-10-06 03:37:22,2020-12-11 01:33:15,@CodingMark @Tesla That video is sooooo smooth! Which mount are you using?,positive
Nor Cal,2013-10-13 06:19:51,2020-12-11 23:31:04,@anonyx10 @ddddtesla @ChrisDungeon @truth_tesla @ReflexFunds @TeslaPodcast @FrankPeelen Darn. @jasondebolt has a bigger portfolio than that.,positive
ડ𝕛,2014-01-12 19:25:44,2020-12-12 00:58:23,Tesla and now Oracle leaving Bay Area.. YES! Make Bay Area Housing Affordable Again!,positive
"Napa, CA",2016-04-14 20:00:32,2020-12-11 17:59:04,"Two weeks until Christmas, Tesla wonders if you're ready?  He is wearing his festive holiday neck wear.  If you are looking for a rooster we have two Polish ones looking for a new home.
#adoptdontshop #friendsofnapaanimals #americancanyon #napa #napacounty https://t.co/kqRB7uQq8E",positive
"Tiburon, CA",2011-02-20 05:25:54,2020-12-11 20:58:48,"@Keubiko “Just to be silly, I did a 20x of the solar TAM and assumed Tesla gets 100% share”",positive
"Sacramento, CA",2018-03-20 01:47:27,2020-12-11 22:14:34,@DriveTeslaca @CodingMark @TeslaOwnersMX @Tesla @elonmusk Maybe it’s a roll out? https://t.co/lS3Yk8SqY0,positive
"Oakland, CA",2015-09-24 17:37:45,2020-12-12 03:31:37,"@theaknobel I left Tesla to start my own company, https://t.co/CMIq5XNGjb 🐝",positive
"Vallejo, CA",2014-01-19 16:16:40,2020-12-12 01:49:39,that boy mono went and bought a tesla,positive
Silicon Valley,2018-07-08 20:42:31,2020-12-12 02:28:48,@tesla_raj What’s true,positive
"Sacramento, CA",2018-03-20 01:47:27,2020-12-11 20:15:20,"@DriveTeslaca @Tesla @elonmusk My Model X doesn’t allow without climate on.. huh, weird https://t.co/nF8j3juH0e",positive
"Sacramento, CA",2018-03-20 01:47:27,2020-12-11 05:02:22,@TeslaChillMode @TeslaGong @JosephVVallace @TacosandTeslas @TeslaForThe_Win @UNPLGD3 @matmansd @JasonDe22001914 @jd_average @CharlesScott78 @nickwhoward @ChrisLiMRX3 @HelperTesla @aaronbrighton @MFrunker @jchybow @CodingMark @_bennettm_ @akidesir @BenClewett1 @CanadianMartia1 @elonmusk @flyerandyp @gatica1813 @IheartTesla @Inelonwetrust @JohnEG78 @Kristennetten @lourencovc @NOAHWEBB @omniblast @phibetakitten @rachelsrowell @SeasonedTech @tartinedeouf @Tesla @teslainvernon @teslaownerssv @teslaquadcities @trevlan006 @wadeanderson @WR4NYGov @XarXarBinx Coming thru uninvited 😂,positive
"San Francisco, CA",2018-10-05 21:53:07,2020-12-11 22:32:10,@LithiumIonBull @sdmoores @amiller_bmi @VivasVK7 @benchmarkmin @AlbemarleCorp @Tesla What extremely awkward thing was said that contorted everyone's face at this exact moment?,negative
Silicon Valley,2013-04-15 17:50:00,2020-12-11 23:36:12,"@Kristennetten TECHNICALLY, Tesla is massively in the business of human trafficking. But... I suspect there’s better threads for my humorous commentary. Disregard and please return to your regularly scheduled solemnity.",positive
"Lafayette, CA",2008-11-28 00:36:42,2020-12-12 02:29:40,@EliBurton_ @TeslaGeeksShow @anuarbekiman @tesla_raj @teslaownerssv Holyyyyyyy 👀👀,positive
San Francisco,2007-12-18 06:01:01,2020-12-11 02:49:12,"@annkillion I'd be pissed off that she spent that kinda money without consulting me. 

20 MPG? Does Tesla make an inexpensive truck?",negative
"Sacramento, CA",2018-03-20 01:47:27,2020-12-11 05:22:35,@BCBurritos @TeslaChillMode @MikeyNog @CodingMark @JosephVVallace @TacosandTeslas @TeslaForThe_Win @UNPLGD3 @matmansd @JasonDe22001914 @jd_average @CharlesScott78 @nickwhoward @ChrisLiMRX3 @HelperTesla @aaronbrighton @MFrunker @jchybow @_bennettm_ @akidesir @BenClewett1 @CanadianMartia1 @elonmusk @flyerandyp @gatica1813 @IheartTesla @Inelonwetrust @JohnEG78 @Kristennetten @lourencovc @NOAHWEBB @omniblast @phibetakitten @rachelsrowell @SeasonedTech @tartinedeouf @Tesla @TeslaGong @teslainvernon @teslaownerssv @teslaquadcities @trevlan006 @wadeanderson @WR4NYGov @XarXarBinx So cute!,positive
"Danville, CA",2016-12-31 19:15:55,2020-12-12 04:57:35,"@ntvll Tesla is not moving to Texas.

Elon Musk is.",positive
"Tiburon, CA",2011-02-20 05:25:54,2020-12-11 16:11:25,"Reading Tesla permabull prognostications about index demand, they are totally clueless on what market makers do to facilitate high volume events at an orderly price. That is how IPOs, ELRs, employee lockup expirations, and other events run smoothly—once the flywheel is spinning https://t.co/FitvZdBR63",negative
"Oakland, CA",2020-12-01 17:55:58,2020-12-11 17:07:26,"@mateosfo @guy_public @ZeframM It is pretty much the entirety of Tesla’s net profit margin. Subtract out what they make off the EV credits, and they lose money.  https://t.co/WilVHGREFm",positive
"Oakland, CA",2019-04-02 08:42:28,2020-12-11 12:52:30,"@virgingalactic Dec 13, 2018-  History repeats again or it’s a pattern ;) looking forward to this Sunday’s launch! @chamath @SpaceX @elonmusk @Tesla $SPCE $SPY",positive
"Campbell, CA",2006-11-20 23:43:44,2020-12-11 16:35:15,@tjcrowley @richardtitus Uber was invented literally in front of me. I know it well. Tesla will tear it apart.,positive
Jefferson,2010-06-12 20:06:28,2020-12-11 21:58:26,@JakeBennett44 @tteegar @Tesla @elonmusk Fuck California. They made the bed; should sleep on it also.,negative
"Sacramento, CA",2018-03-20 01:47:27,2020-12-11 20:14:38,@DriveTeslaca @Tesla @elonmusk Here ya go https://t.co/u8wRk5wfW8,positive
"San Francisco, CA",2010-03-22 19:02:01,2020-12-11 00:02:55,@TheWealthMiner @BlackAlex58 You guys are my idols. And all these Tesla liberals are dumbasses if they don’t see that we need American jobs and American mining.,positive
"San Francisco, CA",2007-04-13 16:06:26,2020-12-11 20:13:15,@gwestr two labradoodles in a Tesla. This is the most Bay Area thing ever.,positive
San Francisco,2009-01-26 21:53:18,2020-12-11 11:00:15,".@Tesla CEO @ElonMusk's move to Texas highlights what's gone wrong in California, spurring business leaders into action.​ https://t.co/uLgV2NGuJO",negative
"San Francisco, CA",2012-11-18 02:34:35,2020-12-11 17:44:03,"2020 has been ETH's year.

Outperforming btc, defi, us stocks, em stocks, hy bonds, gold, real estate –probably everything except for Tesla :) https://t.co/jgixBRIsck",positive
Bay Area,2013-08-26 15:18:49,2020-12-12 06:16:43,Waiting for someone at #tesla to acknowledge the insanity of the delivery window changes,negative
"San Francisco, CA",2009-10-19 09:52:29,2020-12-11 06:13:47,"@MattWalshBlog Who wants to tell her that Tesla &amp; Boeing are moving to red states?

Or that the energy market would be dominated by red states (Arizona already sells its surplus nuclear energy to California).

Vast conglomerates of red counties in blue states would jump ship...",positive
"Carmel, CA",2017-07-25 01:15:47,2020-12-11 02:23:51,@TheSmokingTire I mean tesla plant is still in Fremont. He is still expanding businesses around the state as well... who cares wheee anyone sleeps (most of the time),positive
"Campbell, CA",2006-11-20 23:43:44,2020-12-11 08:04:15,@pavtalk Take a ride in my Tesla. That shit is sick.,negative
"San Jose, CA",2017-02-11 18:27:04,2020-12-12 05:27:12,"@AlexRicaGusAnni @teslaownerssv Wow, magical picture! Looks like a car commercial if @tesla had them ❄️",positive
"San Francisco, CA",2009-03-27 17:05:30,2020-12-11 23:02:44,"@WillBDaniel @jowens510 And Tesla still has its HQ in Palo Alto, factory in Fremont, and other facilities in Calif. beyond SV. Oracle just changed its HQ address. For some perspective.",positive
"Davis, CA",2014-08-19 21:16:37,2020-12-11 17:46:57,@brandenflasch @28delayslater @teslafi @Tesla @Out_of_Spec @dburkland @Negativecarbon @klwtts @bnkwupt @TeeNado658 @IanPavelko @spotted_model @EliBurton_ @MCarbon How do we get these for our cars??,positive
Oakland,2013-03-24 00:48:15,2020-12-11 23:09:09,"Oracle is leaving?
Tesla is leaving?
Can we get a few more to leave?!?!

Please, allow the Bay Area to return to a place of art, culture, music, and consideration.

Sorry, Tech Automatons, you haven't made it a better place. 

Enjoy the guns and barbecue.",positive
San Francisco,2007-03-15 06:15:14,2020-12-12 03:27:06,"Y’all are getting up in arms about Compaq, Oracle, and Tesla leaving the Bay Area. OK Bye.",positive
"San Francisco, CA",2009-03-27 17:05:30,2020-12-11 23:51:20,@petejalbert I just interviewed a really impressive climate tech startup that set up in Hawaii. Cannot wait to report on them a bit more. But yeah. I hope it turns into something good. (And we need a tech &amp; Tesla reporter in Hawaii then. LOL.),positive
LA,2017-09-27 09:19:16,2020-12-12 06:50:51,@_pacific_labs_ @FordMustang @Ford @MustangMachE @ford_machE @Teslarati @cleantechnica @InsideEVs @Tesla @jimfarley98 @elonmusk We’ll find out soon enough. We’re buying one early next year!,positive
"San Jose, CA ",2015-09-11 14:43:57,2020-12-11 04:58:29,"Elon Musk says he has moved to Texas, calls California overly ‘complacent’ - The Verge #ElonMusk #Tesla #SpaceX #Texas #business #California #VIKEZ #technews 

Link:
https://t.co/CTw7IqpZcE https://t.co/ahD8NwMqFq",positive
"Oakland, CA",2017-06-11 16:47:59,2020-12-12 06:53:20,@heyitsyashu @ray4tesla Imagine if every American buys 2 Tesla’s. That’s 330M x $40k x 2 = $13.2T. At 1.5x sales that’s a $19.8T market cap!,positive
"Sacramento, CA",2018-03-20 01:47:27,2020-12-11 20:21:48,"@Ominsey @DriveTeslaca @Tesla @elonmusk I have both platforms, my 3 can activate seat without AC but my X can’t",positive
"San Lorenzo, CA",2020-05-27 04:55:18,2020-12-11 04:09:32,@dat1nicoya415 Imma buy $TSLA so in 3 years I can buy a Tesla,positive
"San Jose, CA",2020-04-09 02:45:45,2020-12-11 04:57:33,"@TNB_Research I think we are getting over extended a little bit, but it's not everywhere. My guess is the rest of FAANG will move once the Tesla inclusion concludes.",positive
San Francisco,2007-11-28 20:02:49,2020-12-11 00:00:41,LG’s home battery company just revealed its new Tesla Powerwall rivals https://t.co/TPrfcZpAdQ,positive
City of Angels,2014-01-22 18:08:59,2020-12-12 00:14:32,"At one point there were 12 car manufacturers operating out of California. Looks like it's officially ZERO as of this week.

#Tesla",positive
"Tiburon, CA",2011-02-20 05:25:54,2020-12-11 04:14:42,@jodiem Which one of the five Tesla colors did you pick?,positive
"San Anselmo, Ca",2009-12-01 04:00:58,2020-12-11 06:29:08,"@LilyTwinkle3 one day of zero amazon purchases could add up to quite the chunk of change, as could a full day of zero tesla production, etc...
EVERYONE could simply not shop for ONE day",positive
"San Francisco, CA",2020-05-24 05:10:53,2020-12-11 17:34:35,@PaulYacoubian @Tesla looks great! what are the options in that tool after choosing one of those ideas?,positive
"Fremont, CA",2013-07-14 19:17:24,2020-12-11 15:02:02,"@AMLopez414 @jimcramer I've done it with my Tesla stock several times. Buy at $380, sell at $440, buy at $220, sell at $445, bought again near $380, now it's at $600 lol. May sell and buy again in the mid $500's if the opportunity presents itself. But I'm sticking with the stock for the long term NMW!",positive
"Ross, CA",2008-04-07 15:26:59,2020-12-11 21:49:52,@danfarina @andreamatranga Looks like Tesla uses the EU standard port in the EU. In china they ship with the Tesla proprietary port plus the China standard one. Good example of how a bit of government regulation can be useful. I'm interested to see how the charging infrastructure in each geo evolves. https://t.co/eKrza2Kng6,positive
Silicon Valley,2009-07-21 01:03:33,2020-12-12 13:38:39,"@IBD_ECarson @gmorton512 @mwebster1971 @AlissaCoram @IBD_Irusha Yo Ed...you are ""fair and balanced"" and shorts love ya🤣 I heard a new one yesterday...A Tesla owner told me she ""gets a new car every 3 weeks when the software updates!""🤣 Bet ya hadn't heard that one... keep up the good work...even if it is negative for TSLA shareholders... https://t.co/NpGNtyFPbM",positive
"San Francisco, CA",2011-08-06 14:57:31,2020-12-11 22:00:21,"@Neoavatara HP, Tesla and Oracle is just the beginning ... and the impact will be exacerbated when Google &amp; others follow Twitter's lead in telling people they can WFH forever, and then exit all their CA real estate ...",positive
Bay Area,2015-12-05 14:35:11,2020-12-11 21:35:55,@boostXairmax @adyreisms On 880 by Tesla,positive
